predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,DI,233,-0.07635736454749256,0.24565332332144846,-0.06767153067374052,0.30367458872648195,9.804895752076511,0.36650982128477555,9.0
AR,DL,233,-0.05592920290490937,0.3954383876351161,-0.052743818131245276,0.4229420789128853,12.971391190056085,0.16390505935462227,9.0
AR,DK,233,-0.03726162343691511,0.5714538395200708,-0.02589496487112374,0.6941646529569794,10.19201123216714,0.3351657348191831,9.0
AR,DM,234,-0.04951555830073434,0.45094001261628147,-0.07239758957890095,0.27003253669910937,11.961990455611836,0.215460595281066,9.0
AR,DF,234,-0.021810825945408594,0.7399690740658531,-0.019152007237426105,0.7707245820642149,19.383606249377333,0.07968192170314868,12.0
AR,DP,215,-0.11306120220525483,0.09824049350632034,0.08050593539352374,0.2398042525189653,17.29959437403994,0.04422591125449313,9.0
AR,DS,234,0.003497750561765835,0.9575574701554771,0.09690737115902028,0.1394238263941663,11.5767714923498,0.23823357431913028,9.0
AR,DT,234,-0.013991470612162663,0.831410708910465,0.01410877016264631,0.8300186674432865,18.926769008089572,0.09031111597095318,12.0
AR,DW,233,0.02300048084242729,0.7269052856755371,0.003985302126082539,0.9517525808599199,28.567796563330088,0.004565264065986679,12.0
AR,DY,234,-0.018314948844040065,0.7804843299985387,-0.014867386989863993,0.8210288325043065,25.30944140241909,0.01342270701070639,12.0
AR,DV,231,-0.03758808416654421,0.5697693525565248,-0.04270393376326823,0.5183976338235633,6.966956650689047,0.6405598284327926,9.0
AR,CA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CD,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CQ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CG,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CH,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CP,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CT,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CW,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CY,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CV,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,EA,371,0.3428096616789001,1.1412506383316218e-11,0.2646313776326601,2.3103236429158643e-07,31.88518021394545,0.00020843586304767847,9.0
AR,ER,369,0.057903934782948266,0.26723372474435575,0.0017189568662723635,0.973747892573346,26.099038888968074,0.010392793368182694,12.0
AR,EN,366,0.3224103597505074,2.676693139334607e-10,0.3799535983605602,5.141966606839661e-14,48.035409767898685,2.5154374318473504e-07,9.0
AR,ED,368,0.3895340222016423,8.792273238492478e-15,0.4520021021997623,6.263605207174422e-20,75.46354451447044,1.2799377594013144e-12,9.0
AR,EC,283,-0.11375283135093235,0.05595863584379303,-0.0757750599780187,0.20375716322333787,23.06235609735051,0.006057783025408347,9.0
AR,EQ,371,0.09869490491118138,0.05753524399601742,0.08562547214728,0.09961497216874872,12.317185723354662,0.19601273785465056,9.0
AR,EG,367,0.44016786716187,7.99892033438896e-19,0.37383168240314574,1.2876848063799487e-13,73.49676794672189,3.1278559817557525e-12,9.0
AR,EH,366,0.12792487058223256,0.014323541031339634,0.1501274725492069,0.003994262462467908,19.960229210223506,0.0678420425074903,12.0
AR,EI,366,0.031212985317636083,0.5516817203065719,0.06701204566419129,0.2008728580245364,68.57953638708251,5.900487323001878e-10,12.0
AR,EL,362,-0.03674870871614631,0.485797064446152,-0.114240180121231,0.029767559847297516,19.206997583313374,0.08365394944420963,12.0
AR,EK,365,0.1450567598623285,0.005494777429305015,0.10671596527408786,0.04158650569816531,24.494312021093986,0.017409563247154647,12.0
AR,EM,369,-0.0639451010270596,0.2204124253191794,-0.06626555503767352,0.20408561553896462,15.08978560662829,0.0884990606932974,9.0
