predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,RT,12,0.2235929353899799,0.4848189998543304,0.3153822238988767,0.3180097670781297,11.600000000000001,0.0715108430857767,6.0
AR,RW,12,0.4102138105973647,0.18534618360075622,0.38390786645079467,0.21793918401489576,10.5,0.1051143529336021,6.0
AR,RY,12,0.43486185071909483,0.15772355728535223,0.3745018437256643,0.2303790321558402,4.0,0.40600584970983794,4.0
AR,RV,12,0.10387388337014816,0.7480148849268301,0.11593755304468265,0.7197368869047258,14.000000000000002,0.007295055724436123,4.0
AR,NA,72,-0.01648573010697098,0.8906773607654166,-0.035470150770959545,0.7673829679637435,44.64569083447333,1.0728367024828302e-06,9.0
AR,NR,72,-0.072240114102437,0.5464831444869774,-0.059468890960908155,0.6197403301484181,34.68471452228383,6.771465378793028e-05,9.0
AR,ND,72,0.6017049289287694,2.269633676416725e-08,0.5194962328408739,2.9247408639919385e-06,31.850399628732017,0.00021133848223379257,9.0
AR,NC,70,-0.20308713022205926,0.091761938169916,-0.21038097596861727,0.08044626851392907,15.050739957716706,0.019865722318880244,6.0
AR,NE,68,0.051943393804581794,0.6739894186830153,0.29150406117400324,0.015870861726602317,22.224863239221175,0.0011023388381462675,6.0
AR,NQ,72,0.1740770384752734,0.14362265032004717,0.21026555700399208,0.07625957770373532,27.589266547406087,0.0011168078826318069,9.0
AR,NG,72,0.3973852141651938,0.0005474116382047076,0.4464919936841665,8.449615976899622e-05,34.42856263260806,7.511726740600347e-05,9.0
AR,NH,72,-0.6292349679418797,3.2221263696193584e-09,-0.11788666924991537,0.32401578417791743,14.7520572450805,0.0979755848314958,9.0
AR,NI,72,-0.07490431142628635,0.5317479717768369,0.11152811883944808,0.3509753311352203,44.8695652173913,9.753547512387857e-07,9.0
AR,NL,72,-0.44721377744640084,8.20280273236902e-05,-0.14512506106321668,0.2238605037413689,43.72779964221824,1.584133286994463e-06,9.0
